id,date,taliban_control,idx
Ajristan,6/30/2021,0,15
Ajristan,7/3/2021,0,16
Ajristan,7/4/2021,0,17
Ajristan,7/5/2021,0,18
Ajristan,7/6/2021,0,19
Ajristan,7/10/2021,0,20
Ajristan,7/11/2021,0,21
Ajristan,7/12/2021,0,22
Ajristan,7/13/2021,0,23
Ajristan,7/14/2021,0,24
Ajristan,7/18/2021,0,25
Ajristan,7/22/2021,0,26
Ajristan,7/25/2021,0,27
Ajristan,8/6/2021,0,28
Ajristan,8/7/2021,0,29
Ajristan,8/8/2021,0,30
Ajristan,8/10/2021,0,31
Ajristan,8/11/2021,0,32
Ajristan,8/12/2021,0,33
Ajristan,8/13/2021,0,34
Ajristan,8/14/2021,0,35
Ajristan,8/16/2021,0,36
Alasay,5/11/2021,0,0
Alasay,5/12/2021,0,1
Alasay,6/7/2021,0,2
Alasay,6/8/2021,0,3
Alasay,6/12/2021,0,4
Alasay,6/13/2021,0,5
Alasay,6/14/2021,0,6
Alasay,6/15/2021,0,7
Alasay,6/20/2021,0,8
Alasay,6/21/2021,0,9
Alasay,6/23/2021,0,10
Alasay,6/24/2021,0,11
Alasay,6/25/2021,0,12
Alasay,6/27/2021,0,13
Alasay,6/29/2021,0,14
Alasay,6/30/2021,1,15
Alasay,7/3/2021,1,16
Alasay,7/4/2021,1,17
Alasay,7/5/2021,1,18
Alasay,7/6/2021,1,19
Alasay,7/10/2021,1,20
Alasay,7/11/2021,1,21
Alasay,7/12/2021,1,22
Alasay,7/13/2021,1,23
Alasay,7/14/2021,1,24
Alasay,7/18/2021,1,25
Alasay,7/22/2021,1,26
Alasay,7/25/2021,1,27
Alasay,8/6/2021,1,28
Alasay,8/7/2021,1,29
Alasay,8/8/2021,1,30
Alasay,8/10/2021,1,31
Alasay,8/11/2021,1,32
Alasay,8/12/2021,1,33
Alasay,8/13/2021,1,34
Alasay,8/14/2021,1,35
Alasay,8/16/2021,1,36
Aliabad,5/11/2021,0,0
Aliabad,5/12/2021,0,1
Aliabad,6/7/2021,0,2
Aliabad,6/8/2021,0,3
Aliabad,6/12/2021,0,4
Aliabad,6/13/2021,0,5
Aliabad,6/14/2021,0,6
Aliabad,6/15/2021,0,7
Aliabad,6/20/2021,0,8
Aliabad,6/21/2021,0,9
Aliabad,6/23/2021,0,10
Aliabad,6/24/2021,0,11
Aliabad,6/25/2021,0,12
Aliabad,6/27/2021,0,13
Aliabad,6/29/2021,0,14
Aliabad,6/30/2021,0,15
Aliabad,7/3/2021,0,16
Aliabad,7/4/2021,0,17
Aliabad,7/5/2021,0,18
Aliabad,7/6/2021,0,19
Aliabad,7/10/2021,0,20
Aliabad,7/11/2021,0,21
