year,cluster,requirements,funding,percent_funded
2015.0,Multiple Sectors,88945605.0,18350703.0,0.20631376896025386
2015.0,Not Specified,0.0,147176144.0,inf
2015.0,Nutrition,63262622.0,41622537.0,0.6579325308394585
2015.0,Protection,39959655.0,9605905.0,0.24039008845296586
2015.0,"Water, Sanitation & Hygiene",25331600.0,16827935.0,0.6643060446241058
2016.0,Aviation,16400000.0,958019.0,0.05841579268292683
2016.0,Coordination & Support Services,11500000.0,23301463.0,2.0262141739130435
2016.0,Emergency Shelter,74645288.0,14039028.0,0.18807654677412458
2016.0,Food Security & Agriculture,91556037.0,23197787.0,0.253372554777573
2016.0,Health,45182321.0,23451996.0,0.5190524851523232
2016.0,Multiple Sectors,21900858.0,441609.0,0.020164004533521015
2016.0,Not Specified,0.0,142228111.0,inf
2016.0,Nutrition,69746962.0,67995723.0,0.9748915372113268
2016.0,Protection,59659656.0,16267479.0,0.27267135097124934
2016.0,Refugees And Returnees,73200000.0,47608789.0,0.6503932923497268
2016.0,Wash,23141902.0,5488040.0,0.23714731831463118
2016.0,"Water, Sanitation & Hygiene",4000000.0,0.0,0.0
2017.0,Aviation,17000000.0,12742023.0,0.7495307647058823
2017.0,Coordination & Support Services,9500000.0,13779312.0,1.4504538947368422
2017.0,Education In Emergencies,40000000.0,1321353.0,0.033033825
2017.0,Emergency Shelter,35600000.0,18661212.0,0.5241913483146068
2017.0,Food Security & Agriculture,65590000.0,83368135.0,1.2710494740051836
2017.0,Health,30000000.0,24070845.0,0.8023615
2017.0,Multiple Sectors,64775000.0,39271738.0,0.6062792435353146
2017.0,Not Specified,0.0,69032991.0,inf
2017.0,Nutrition,48000000.0,27474573.0,0.5723869375
2017.0,Protection,54413760.0,29481076.0,0.5417945019789112
2017.0,Refugee Chapter,19535052.0,3388177.0,0.1734408999781521
2017.0,"Water, Sanitation & Hygiene",25000000.0,9776526.0,0.39106104
2018.0,Aviation,16390000.0,12225926.0,0.7459381330079317
2018.0,Coordination & Support Services,15900000.0,20409148.0,1.283594213836478
2018.0,Education In Emergencies,29685000.0,12357561.0,0.41628974229408794
2018.0,Emergency Shelter,52975538.0,22135836.0,0.41785014056865266
2018.0,Food Security & Agriculture,231000000.0,187639059.0,0.8122902987012987
2018.0,Health,48696240.0,17713900.0,0.36376319814425095
2018.0,Multiple Sectors,36400000.0,45987638.0,1.2633966483516483
2018.0,Not Specified,0.0,68315880.0,inf
2018.0,Nutrition,62370635.0,33575534.0,0.5383227860354476
2018.0,Protection,66505803.0,22651599.0,0.34059582740471533
2018.0,"Water, Sanitation & Hygiene",39000782.0,25069034.0,0.6427828549694209
2019.0,Aviation,17802526.0,2739421.0,0.1538782193043841
2019.0,Coordination & Support Services,18937000.0,6340560.0,0.3348238897396631
2019.0,Education In Emergencies,33817269.0,27112007.0,0.8017207717157764
2019.0,Emergency Shelter,48320965.0,31489430.0,0.6516722089469861
2019.0,Food Security & Agriculture,278792460.0,145339422.0,0.5213176210002236
2019.0,Health,51379002.0,36057493.0,0.7017943439228345
2019.0,Multiple Sectors,23930000.0,35857417.0,1.4984294609277058
2019.0,Not Specified,0.0,102698857.0,inf
2019.0,Nutrition,57600000.0,39589330.0,0.6873147569444444
2019.0,Protection,44747161.0,18525488.0,0.41400365042153175
2019.0,"Water, Sanitation & Hygiene",36433603.0,20970532.0,0.5755821624339487
2020.0,Aviation,25000000.0,10982215.0,0.4392886
2020.0,Coordination & Support Services,14939040.0,6281754.0,0.42049248144459084
2020.0,Education In Emergencies,68104253.0,15555670.0,0.22840967068532417
2020.0,Emergency Shelter,122898995.0,24652964.0,0.2005953262677209
