date,budgetYear,description,amountUSD,srcOrganization,srcOrganizationTypes,srcLocations,srcUsageYearStart,srcUsageYearEnd,destPlan,destPlanCode,destPlanId,destOrganization,destOrganizationTypes,destGlobalClusters,destLocations,destProject,destProjectCode,destEmergency,destUsageYearStart,destUsageYearEnd,contributionType,flowType,method,boundary,onBoundary,status,firstReportedDate,decisionDate,keywords,originalAmount,originalCurrency,exchangeRate,id,refCode,createdAt,updatedAt
#date,#date+year+budget,#description+notes,#value+funding+total+usd,#org+name+funder,#org+type+funder+list,#country+iso3+funder+list,#date+year+start+funder,#date+year+end+funder,#activity+appeal+name,#activity+appeal+id+external,#activity+appeal+id+fts_internal,#org+name+impl,#org+type+impl+list,#sector+cluster+name+list,#country+iso3+impl+list,#activity+project+name,#activity+project+code,#crisis+name,#date+year+start+impl,#date+year+end+impl,#financial+contribution+type,#financial+contribution+type,#financial+method,#financial+direction,#financial+direction+type,#status+text,#date+reported,#date+decision,#description+keywords,#value+funding+total,#value+funding+total+currency,#financial+fx,#activity+id+fts_internal,#activity+code,#date+created,#date+updated
2021-08-05,2022,Emergency food aid for afghn. Refugees and Conflict-Affected Population,110766350,"Germany, Government of",Government,DEU,2021,2021,Afghanistan Humanitarian Response Plan 2022,HAFG22,1100,World Food Programme,UN agency,Food Security,AFG,,,,2022,2022,financial,Standard,Traditional aid,incoming,single,commitment,2021-08-06,2021-08-05,Multiyear,93154500,EUR,0.841,237018,AA-S09-321.50 ASI 08/21,2022-09-24,2022-11-04
2021-07-16,2021,"Providing emergency, trauma and primary health care services including the treatment of severe acute malnutrition with complications, response to gender based violence and communicable disease outbreaks to populations in underserved areas of Afghanistan.",16759776,European Commission's Humanitarian Aid and Civil Protection Department,Inter-governmental,,2021,2021,Afghanistan Humanitarian Response Plan 2022,HAFG22,1100,World Health Organization,UN agency,Health,AFG,,,,2022,2022,financial,Standard,Traditional aid,incoming,single,commitment,2022-04-29,2021-07-16,,14044692,EUR,0.838,257125,ECHO/-AS/BUD/2021/91023,2022-08-12,2022-08-12
2021-07-14,2021,"Provision of essential services to respond to increased malnutrition related risks through quality integrated nutrition, health and protection response for vulnerable conflict-affected population in Southern Afghanistan.",4534606,European Commission's Humanitarian Aid and Civil Protection Department,Inter-governmental,,2022,2022,Afghanistan Humanitarian Response Plan 2022,HAFG22,1100,International NGOs (Confidential),NGO,"Health,Nutrition,Protection",AFG,,,Afghanistan Complex Emergency August 2021,2022,2022,financial,Standard,Traditional aid,incoming,single,commitment,2022-05-19,2021-07-14,,3800000,EUR,0.838,252445,ECHO/-AS/BUD/2021/91027,2022-05-20,2022-06-22
2021-07-09,2021,"Health services, food assistance and protection with focus on children and preganant and lactating women in the provinces of Balkh and Kandahar/Afghanistan as well as in the Rohinyga camps and host communities in Cox´s Bazar/Bangladesh",0,"Germany, Government of",Government,DEU,2021,2023,,,,Save the Children,NGO,,"AFG,BGD",,,,2021,2023,financial,Parked,Traditional aid,incoming,shared,commitment,2021-07-09,2021-07-09,Multiyear,0,EUR,0.838,235088,AA-S09 321.50 ASI 01/21,2021-07-10,2022-03-29
2021-07-09,2022,"AFGHANISTAN - Health services, food assistance and protection with focus on children and preganant and lactating women in the provinces of Balkh and Kandahar/Afghanistan as well as in the Rohinyga camps and host communities in Cox´s Bazar/Bangladesh (2022 portion)",1151802,"Germany, Government of",Government,DEU,2022,2022,,,,Save the Children,NGO,"Health,Nutrition,Protection - Child Protection",AFG,,,,2022,2022,financial,Standard,Traditional aid,incoming,single,commitment,2021-07-09,2021-07-09,Multiyear,965210,EUR,0.838,235091,AA-S09 321.50 ASI 01/21,2021-08-21,2021-08-24
2021-07-09,2021,Provide lifesaving emergency assistance to vulnerable people including internally displaced persons and malnourished women and children to enable them to meet their food and nutrition needs. [MR]Provide lifesaving emergency assistance to vulnerable people to meet their food and nutrition needs[MR],18565155,European Commission's Humanitarian Aid and Civil Protection Department,Inter-governmental,,2022,2022,Afghanistan Humanitarian Response Plan 2022,HAFG22,1100,World Food Programme,UN agency,"Food Security,Logistics,Nutrition",AFG,,,Afghanistan Complex Emergency August 2021,2022,2022,financial,Standard,Traditional aid,incoming,single,commitment,2022-05-30,2021-07-09,,15557600,EUR,0.838,253220,ECHO/-AS/BUD/2021/91024,2022-05-31,2022-06-22
2021-07-03,2021,"Food security and winterization emergency cash assistance for enhanced social protection among internally displaced persons, returnees and extremely vulnerable host community members in the provinces of Herat, Ghor and Kandahar",0,"Germany, Government of",Government,DEU,2021,2024,,,,Caritas Germany (DCV),NGO,,AFG,,,,2021,2024,financial,Parked,Traditional aid,incoming,shared,commitment,2021-07-03,2021-07-03,Multiyear,0,EUR,0.838,234678,AA-S09 321.50 AFG 01/21,2021-07-04,2021-09-22
2021-07-03,2022,"Food security and winterization emergency cash assistance for enhanced social protection among internally displaced persons, returnees and extremely vulnerable host community members in the provinces of Herat, Ghor and Kandahar (2022 portion)",1170155,"Germany, Government of",Government,DEU,2022,2022,,,,Caritas Germany (DCV),NGO,"Emergency Shelter and NFI,Food Security,Protection",AFG,,,,2022,2022,financial,Standard,Traditional aid,incoming,single,commitment,2021-07-03,2021-07-03,Multiyear,980590,EUR,0.838,234680,AA-S09 321.50 AFG 01/21,2021-08-21,2021-08-24
2021-06-29,2021,"Assistance and protection for persons of concern affected by the Afghanistan situation in Iran,Pakistan and Afghanistan (Afghanistan portion)",25309852,"Germany, Government of",Government,DEU,2021,2022,,,,UN Agencies (Confidential),UN agency,"Emergency Shelter and NFI,Health,Protection",AFG,,,Afghanistan Complex Emergency August 2021,2021,2022,financial,Standard,Traditional aid,incoming,shared,commitment,2021-06-29,2021-06-29,Multiyear,20754079,EUR,0.82,234440,AA-S09 321.50 ASI 07/21,2022-09-24,2022-11-02
2021-06-29,2022,"Assistance and protection for persons of concern affected by the Afghanistan situation in Iran,Pakistan and Afghanistan",152439,"Germany, Government of",Government,DEU,2022,2022,Afghanistan Humanitarian Response Plan 2022,HAFG22,1100,UN Agencies (Confidential),UN agency,"Emergency Shelter and NFI,Health,Protection,Protection - Child Protection,Protection - Gender-Based Violence,Protection - Housing, Land and Property,Protection - Mine Action",AFG,,,Afghanistan Complex Emergency August 2021,2022,2022,financial,Standard,Traditional aid,incoming,single,commitment,2021-06-29,2021-06-29,Multiyear,23125000,EUR,0.82,234444,AA-S09 321.50 ASI 07/21,2022-09-24,2022-10-19
