countryCode,id,name,code,startDate,endDate,year,clusterCode,cluster,requirements,funding,percentFunded
#country+code,#activity+appeal+id+fts_internal,#activity+appeal+name,#activity+appeal+id+external,#date+start,#date+end,#date+year,#sector+cluster+code,#sector+cluster+name,#value+funding+required+usd,#value+funding+total+usd,#value+funding+pct
AFG,929,Afghanistan 2020,HAFG20,2020-01-01,2020-12-31,2020,5250,Nutrition,72495783,27379188,38
AFG,929,Afghanistan 2020,HAFG20,2020-01-01,2020-12-31,2020,5405,Nutrition COVID-19,42149424,7956832,19
AFG,929,Afghanistan 2020,HAFG20,2020-01-01,2020-12-31,2020,5251,Protection,62341224,51098513,82
AFG,929,Afghanistan 2020,HAFG20,2020-01-01,2020-12-31,2020,5406,Protection COVID-19,29534365,9011199,31
AFG,929,Afghanistan 2020,HAFG20,2020-01-01,2020-12-31,2020,5252,"Water, Sanitation and Hygiene",84803628,11592738,14
AFG,929,Afghanistan 2020,HAFG20,2020-01-01,2020-12-31,2020,5408,"Water, Sanitation and Hygiene COVID-19",67368770,10612818,16
AFG,929,Afghanistan 2020,HAFG20,2020-01-01,2020-12-31,2020,,Not specified,,160802158,
AFG,929,Afghanistan 2020,HAFG20,2020-01-01,2020-12-31,2020,,Multiple clusters/sectors (shared),,36088839,
AFG,672,Afghanistan 2019,HAFG19,2019-01-01,2019-12-31,2019,4375,Aviation,17802526,2739421,15
AFG,672,Afghanistan 2019,HAFG19,2019-01-01,2019-12-31,2019,4376,Coordination,18937000,6340560,33
AFG,672,Afghanistan 2019,HAFG19,2019-01-01,2019-12-31,2019,4377,Education in Emergencies WG,33817269,27112007,80
AFG,672,Afghanistan 2019,HAFG19,2019-01-01,2019-12-31,2019,4378,Emergency Shelter and NFI,48320965,31489430,65
AFG,672,Afghanistan 2019,HAFG19,2019-01-01,2019-12-31,2019,4379,Food Security and Agriculture,278792460,145339422,52
AFG,672,Afghanistan 2019,HAFG19,2019-01-01,2019-12-31,2019,4380,Health,51379002,36057493,70
AFG,672,Afghanistan 2019,HAFG19,2019-01-01,2019-12-31,2019,4381,Multi Purpose Cash,23930000,4857020,20
AFG,672,Afghanistan 2019,HAFG19,2019-01-01,2019-12-31,2019,4677,Multi-sectoral activities,,1736244,
AFG,672,Afghanistan 2019,HAFG19,2019-01-01,2019-12-31,2019,4382,Nutrition,57600000,39589330,69
AFG,672,Afghanistan 2019,HAFG19,2019-01-01,2019-12-31,2019,4383,Protection,44747161,18525488,41
